timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.50.219,62068,209.50.187.214,62068,1
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.187.168,62068,209.50.187.214,62068,2
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.28.111,62068,209.50.187.214,62068,3
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.28.51,62068,209.50.187.214,62068,4
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.105.101,62068,209.50.187.214,62068,5
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.105.43,62068,209.50.187.214,62068,6
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.50.4,62068,209.50.187.214,62068,7
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.50.186,62068,209.50.187.214,62068,8
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.187.223,62068,209.50.187.214,62068,9
03/17/2025-22:45:00.000,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,4.211.39.140,50377,209.50.105.62,60891,10
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,4.211.39.140,50377,209.50.105.62,60891,11
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.50.130,62068,209.50.187.214,62068,12
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.28.178,62068,209.50.187.214,62068,13
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,209.50.28.237,62068,209.50.187.214,62068,14
