timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.170,21469,77.83.239.203,21469,1
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,77.83.239.169,21469,77.83.239.202,21469,2
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.104,21469,77.83.239.202,21469,3
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.102,21469,77.83.239.205,21469,4
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,166.231.133.200,21469,77.83.239.200,21469,5
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,166.231.133.169,21469,77.83.239.204,21469,6
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.166,21469,77.83.239.202,21469,7
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.102,21469,77.83.239.202,21469,8
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,77.83.239.104,21469,77.83.239.202,21469,9
03/17/2025-22:45:00.000,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,38.244.10.7,9738,166.231.133.200,40435,10
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,38.244.10.5,9738,166.231.133.205,40435,11
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.200,21469,77.83.239.200,21469,12
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.200,21469,77.83.239.204,21469,13
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.6,21469,77.83.239.202,21469,14
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.61,21469,77.83.239.200,21469,15
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.170,21469,77.83.239.203,21469,16
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,64.123.196.199,21469,77.83.239.203,21469,17
03/17/2025-22:45:00.000,[1:2100498:7] GPL ATTACK_RESPONSE id check returned root,Potentially Bad Traffic,2,TCP,133.138.248.61,56258,166.231.133.202,46506,18
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.200,21469,77.83.239.199,21469,19
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.62,21469,77.83.239.202,21469,20
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,166.231.133.171,21469,77.83.239.202,21469,21
03/17/2025-22:45:00.000,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,38.244.10.5,9738,166.231.133.202,2927,22
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,38.244.10.9,9738,166.231.133.202,2927,23
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,38.244.10.5,9738,166.231.133.202,2927,24
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,38.244.10.7,9738,166.231.133.203,2927,25
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.104,21469,77.83.239.204,21469,26
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,77.83.239.170,21469,77.83.239.203,21469,27
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,77.83.239.170,21469,77.83.239.202,21469,28
03/17/2025-22:45:00.000,[1:2001219:20] ET SCAN Potential SSH Scan,Attempted Information Leak,2,TCP,215.184.176.106,16813,166.231.133.200,48657,29
03/17/2025-22:45:00.000,[1:2006546:9] ET SCAN LibSSH Based Frequent SSH Connections Likely BruteForce Attack,Attempted Administrator Privilege Gain,1,TCP,215.184.176.105,16813,166.231.133.202,48657,30
03/17/2025-22:45:00.000,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,94.150.71.172,9738,166.231.133.202,16971,31
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,94.150.71.167,9738,166.231.133.202,16971,32
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,94.150.71.169,9738,166.231.133.203,16971,33
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,94.150.71.170,9738,166.231.133.201,16971,34
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,94.150.71.170,9738,166.231.133.203,16971,35
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,80.174.139.8,21469,77.83.239.202,21469,36
03/17/2025-22:45:00.000,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,166.231.133.203,48657,215.184.176.206,53050,37
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,166.231.133.200,48657,215.184.176.204,53050,38
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,215.184.176.102,53050,166.231.133.199,48657,39
03/17/2025-22:45:00.000,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,166.231.133.200,48657,215.184.176.202,33922,40
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,166.231.133.201,48657,215.184.176.204,33922,41
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,215.184.176.104,33922,166.231.133.203,48657,42
03/17/2025-22:45:00.000,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,166.231.133.196,48657,215.184.176.202,37114,43
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,166.231.133.200,48657,215.184.176.203,37114,44
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,215.184.176.103,37114,166.231.133.202,48657,45
03/17/2025-22:45:00.000,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,166.231.133.199,48657,215.184.176.202,28146,46
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,166.231.133.197,48657,215.184.176.202,28146,47
03/17/2025-22:45:00.000,[1:2228000:1] SURICATA SSH invalid banner,Generic Protocol Command Decode,3,TCP,215.184.176.104,28146,166.231.133.203,48657,48
03/17/2025-22:45:00.000,[1:2260002:1] SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,3,TCP,166.231.133.200,48657,215.184.176.203,20263,49
