timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.72.188,38739,239.190.141.209,38739,1
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.141.53,38739,239.190.141.209,38739,2
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.28.240,38739,239.190.141.209,38739,3
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.28.154,38739,239.190.141.209,38739,4
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.216.32,38739,239.190.141.209,38739,5
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.216.23,38739,239.190.141.209,38739,6
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.72.151,38739,239.190.141.209,38739,7
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.72.128,38739,239.190.141.209,38739,8
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.141.202,38739,239.190.141.209,38739,9
03/17/2025-22:45:00.000,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,151.48.9.73,18763,239.190.216.145,3782,10
03/17/2025-22:45:00.000,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,151.48.9.73,18763,239.190.216.145,3782,11
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.72.194,38739,239.190.141.209,38739,12
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.28.148,38739,239.190.141.209,38739,13
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.28.136,38739,239.190.141.209,38739,14
03/17/2025-22:45:00.000,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,239.190.28.219,38739,239.190.141.209,38739,15
