line_no,field,original_value,offset
1,timestamp,03/17/2025-22:48:07.698063,0
1,src_ip,10.22.65.178,140
1,src_port,57621,153
1,dest_ip,10.22.67.255,162
1,dest_port,57621,175
2,timestamp,03/17/2025-22:48:11.711782,0
2,src_ip,10.22.67.184,140
2,src_port,57621,153
2,dest_ip,10.22.67.255,162
2,dest_port,57621,175
3,timestamp,03/17/2025-22:48:12.479921,0
3,src_ip,10.22.66.116,140
3,src_port,57621,153
3,dest_ip,10.22.67.255,162
3,dest_port,57621,175
4,timestamp,03/17/2025-22:48:21.268519,0
4,src_ip,10.22.66.87,140
4,src_port,57621,152
4,dest_ip,10.22.67.255,161
4,dest_port,57621,174
5,timestamp,03/17/2025-22:48:24.991240,0
5,src_ip,10.22.64.204,140
5,src_port,57621,153
5,dest_ip,10.22.67.255,162
5,dest_port,57621,175
6,timestamp,03/17/2025-22:48:32.319022,0
6,src_ip,10.22.64.173,140
6,src_port,57621,153
6,dest_ip,10.22.67.255,162
6,dest_port,57621,175
7,timestamp,03/17/2025-22:48:39.830683,0
7,src_ip,10.22.65.180,140
7,src_port,57621,153
7,dest_ip,10.22.67.255,162
7,dest_port,57621,175
8,timestamp,03/17/2025-22:48:42.601984,0
8,src_ip,10.22.65.91,140
8,src_port,57621,152
8,dest_ip,10.22.67.255,161
8,dest_port,57621,174
9,timestamp,03/17/2025-22:48:43.470211,0
9,src_ip,10.22.67.125,140
9,src_port,57621,153
9,dest_ip,10.22.67.255,162
9,dest_port,57621,175
10,timestamp,03/17/2025-22:48:43.902146,0
10,src_ip,180.149.60.12,154
10,src_port,443,168
10,dest_ip,10.22.64.192,175
10,dest_port,37117,188
11,timestamp,03/17/2025-22:48:43.902146,0
11,src_ip,180.149.60.12,151
11,src_port,443,165
11,dest_ip,10.22.64.192,172
11,dest_port,37117,185
12,timestamp,03/17/2025-22:48:44.970095,0
12,src_ip,10.22.65.195,140
12,src_port,57621,153
12,dest_ip,10.22.67.255,162
12,dest_port,57621,175
13,timestamp,03/17/2025-22:48:46.829249,0
13,src_ip,10.22.66.236,140
13,src_port,57621,153
13,dest_ip,10.22.67.255,162
13,dest_port,57621,175
14,timestamp,03/17/2025-22:49:04.319806,0
14,src_ip,10.22.66.6,140
14,src_port,57621,151
14,dest_ip,10.22.67.255,160
14,dest_port,57621,173
15,timestamp,03/17/2025-22:49:07.633488,0
15,src_ip,10.22.66.83,140
15,src_port,57621,152
15,dest_ip,10.22.67.255,161
15,dest_port,57621,174
16,timestamp,03/17/2025-22:49:19.469764,0
16,src_ip,10.22.65.181,140
16,src_port,57621,153
16,dest_ip,10.22.67.255,162
16,dest_port,57621,175
17,timestamp,03/17/2025-22:49:24.544901,0
17,src_ip,10.22.66.204,140
17,src_port,57621,153
17,dest_ip,10.22.67.255,162
17,dest_port,57621,175
18,timestamp,03/17/2025-22:49:27.132054,0
18,src_ip,18.161.246.76,157
18,src_port,80,171
18,dest_ip,10.22.64.192,177
18,dest_port,36734,190
19,timestamp,03/17/2025-22:49:27.684775,0
19,src_ip,10.22.65.223,140
19,src_port,57621,153
19,dest_ip,10.22.67.255,162
19,dest_port,57621,175
20,timestamp,03/17/2025-22:49:29.205681,0
20,src_ip,10.22.65.82,140
20,src_port,57621,152
20,dest_ip,10.22.67.255,161
20,dest_port,57621,174
21,timestamp,03/17/2025-22:49:38.263593,0
21,src_ip,10.22.64.146,140
21,src_port,57621,153
21,dest_ip,10.22.67.255,162
21,dest_port,57621,175
22,timestamp,03/17/2025-22:49:39.444362,0
22,src_ip,180.149.60.12,154
22,src_port,443,168
22,dest_ip,10.22.64.192,175
22,dest_port,42519,188
23,timestamp,03/17/2025-22:49:39.444362,0
23,src_ip,180.149.60.12,151
23,src_port,443,165
23,dest_ip,10.22.64.192,172
23,dest_port,42519,185
24,timestamp,03/17/2025-22:49:39.470310,0
24,src_ip,180.149.60.12,151
24,src_port,443,165
24,dest_ip,10.22.64.192,172
24,dest_port,42519,185
25,timestamp,03/17/2025-22:49:39.470310,0
25,src_ip,180.149.60.12,151
25,src_port,443,165
25,dest_ip,10.22.64.192,172
25,dest_port,42519,185
