timestamp,alert,classification,priority,protocol,src_ip,src_port,dest_ip,dest_port,line_no
03/17/2025-22:48:07.698063,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.178,57621,10.22.67.255,57621,1
03/17/2025-22:48:11.711782,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.184,57621,10.22.67.255,57621,2
03/17/2025-22:48:12.479921,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.116,57621,10.22.67.255,57621,3
03/17/2025-22:48:21.268519,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.87,57621,10.22.67.255,57621,4
03/17/2025-22:48:24.991240,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.204,57621,10.22.67.255,57621,5
03/17/2025-22:48:32.319022,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.64.173,57621,10.22.67.255,57621,6
03/17/2025-22:48:39.830683,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.180,57621,10.22.67.255,57621,7
03/17/2025-22:48:42.601984,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.91,57621,10.22.67.255,57621,8
03/17/2025-22:48:43.470211,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.67.125,57621,10.22.67.255,57621,9
03/17/2025-22:48:43.902146,[1:2200075:2] SURICATA UDPv4 invalid checksum,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,37117,10
03/17/2025-22:48:43.902146,[1:2231000:1] SURICATA QUIC failed decrypt,Generic Protocol Command Decode,3,UDP,180.149.60.12,443,10.22.64.192,37117,11
03/17/2025-22:48:44.970095,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.195,57621,10.22.67.255,57621,12
03/17/2025-22:48:46.829249,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.236,57621,10.22.67.255,57621,13
03/17/2025-22:49:04.319806,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.6,57621,10.22.67.255,57621,14
03/17/2025-22:49:07.633488,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.83,57621,10.22.67.255,57621,15
03/17/2025-22:49:19.469764,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.181,57621,10.22.67.255,57621,16
03/17/2025-22:49:24.544901,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.66.204,57621,10.22.67.255,57621,17
03/17/2025-22:49:27.132054,[1:2100498:7] GPL ATTACK_RESPONSE id check returned root,Potentially Bad Traffic,2,TCP,18.161.246.76,80,10.22.64.192,36734,18
03/17/2025-22:49:27.684775,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.223,57621,10.22.67.255,57621,19
03/17/2025-22:49:29.205681,[1:2027397:1] ET INFO Spotify P2P Client,Not Suspicious Traffic,3,UDP,10.22.65.82,57621,10.22.67.255,57621,20
